run_id,loss,layers,learning_rate,normalization,importance_gt,importance_fire,importance_other,dropout,grad_clip_norm,epochs_completed,train_TP,train_FP,train_FN,test_TP,test_FP,test_FN,flight03_FP,error_rate,precision,recall
1,bce,64x64x64x32,0.01,hybrid,10,5,1,0.0,1.0,100,10991,3108,0,7741,466,1327,52,0.197728,0.943219,0.853661
2,bce,64x64x64x32,0.01,hybrid,15,3,1,0.0,1.0,100,10991,2298,0,7320,245,1748,35,0.219784,0.967614,0.807234
3,bce,64x64x64x32,0.01,hybrid,5,10,1,0.0,1.0,100,10991,5538,0,8184,886,884,140,0.195192,0.902315,0.902514
4,bce,64x64x64x32,0.01,standard,10,5,1,0.0,1.0,100,10991,172,0,8259,169,809,30,0.107852,0.979948,0.910785
5,bce,64x64x64x32,0.01,standard,15,3,1,0.0,1.0,100,10991,236,0,8415,176,653,41,0.091420,0.979513,0.927989
6,bce,64x64x64x32,0.01,standard,5,10,1,0.0,1.0,100,10991,498,0,8627,291,441,88,0.080723,0.967369,0.951367
7,bce,64x64x64x32,0.01,hybrid,10,5,1,0.1,1.0,100,10991,10662,0,8889,2230,179,230,0.265659,0.799442,0.980260
8,bce,64x64x64x32,0.01,hybrid,15,3,1,0.1,1.0,100,10991,9001,0,8842,1832,226,171,0.226952,0.828368,0.975077
9,bce,64x64x64x32,0.01,hybrid,5,10,1,0.1,1.0,100,10991,16977,0,8932,3713,136,467,0.424460,0.706366,0.985002
10,bce,64x64x64x32,0.01,standard,10,5,1,0.1,1.0,100,10991,1867,0,9060,1101,8,136,0.122298,0.891645,0.999118
11,bce,64x64x64x32,0.01,standard,15,3,1,0.1,1.0,100,10991,1125,0,9001,493,67,118,0.061756,0.948072,0.992611
12,bce,64x64x64x32,0.01,standard,5,10,1,0.1,1.0,100,10991,2796,0,9067,2092,1,169,0.230812,0.812528,0.999890
13,bce,64x64x64x32,0.001,hybrid,10,5,1,0.0,1.0,100,10991,4014,0,7329,487,1739,62,0.245479,0.937692,0.808227
14,bce,64x64x64x32,0.001,hybrid,15,3,1,0.0,1.0,100,10991,3515,0,7354,482,1714,58,0.242170,0.938489,0.810984
15,bce,64x64x64x32,0.001,hybrid,5,10,1,0.0,1.0,100,10991,4313,0,7498,668,1570,92,0.246802,0.918197,0.826864
16,bce,64x64x64x32,0.001,standard,10,5,1,0.0,1.0,100,10991,172,0,7000,81,2068,38,0.236987,0.988561,0.771945
17,bce,64x64x64x32,0.001,standard,15,3,1,0.0,1.0,100,10991,150,0,8254,63,814,27,0.096714,0.992425,0.910234
18,bce,64x64x64x32,0.001,standard,5,10,1,0.0,1.0,100,10991,215,0,7836,131,1232,41,0.150309,0.983557,0.864138
19,bce,64x64x64x32,0.001,hybrid,10,5,1,0.1,1.0,100,10991,7077,0,8672,1423,396,154,0.200596,0.859039,0.956330
20,bce,64x64x64x32,0.001,hybrid,15,3,1,0.1,1.0,100,10991,5304,0,8647,1142,421,118,0.172364,0.883338,0.953573
21,bce,64x64x64x32,0.001,hybrid,5,10,1,0.1,1.0,100,10991,12127,0,8861,2352,207,260,0.282201,0.790243,0.977172
22,bce,64x64x64x32,0.001,standard,10,5,1,0.1,1.0,100,10991,560,0,8868,463,200,73,0.073114,0.950380,0.977944
23,bce,64x64x64x32,0.001,standard,15,3,1,0.1,1.0,100,10991,455,0,8782,373,286,59,0.072673,0.959257,0.968461
